City,Date,PM2.5,PM10,NO2,CO,SO2
Hồ Chí Minh ,1/21/2021,102,0,,,
Hà Nội,1/21/2021,,0,,,
Hà Nội,1/21/2021,281,0,8.7,0.3,2.1
Gia Lai,1/21/2021,36,29,6,3,1
Thừa Thiên Huế,1/21/2021,68,52,,2,
Hà Nội,1/21/2021,217,194,65,12,2
Bắc Ninh,1/21/2021,195,119,17,8,3
Lào Cai,1/21/2021,168,65,2,37,17
Hạ Long,1/21/2021,48,25,11,,
Quảng Ninh,1/21/2021,18,12,5,5,3
Bắc Ninh,1/21/2021,251,155,52,7,6
Bắc Ninh,1/21/2021,315,205,48,7,12
Hà Nội,1/21/2021,224,185,80,61,
Hà Nội,1/21/2021,177,112,42,20,
Hà Nội,1/21/2021,179,122,47,14,
Hà Nội,1/21/2021,214,149,36,19,1
Đà Nẵng,1/21/2021,,,1,3,5
Nha Trang,1/21/2021,,,13,7,3
Hà Nội,1/21/2021,213,175,34,31,
Hà Nội,1/21/2021,166,105,33,13,
Hà Nội,1/21/2021,221,177,31,38,
Hà Nội,1/21/2021,191,130,,17,
Cao Bằng,1/21/2021,213,204,,,2
Hồ Chí Minh ,1/22/2021,122,0,,,
Hà Nội,1/22/2021,,0,,,
Hà Nội,1/22/2021,189,0,8.7,0.1,3.1
Gia Lai,1/22/2021,17,18,13,4,1
Thừa Thiên Huế,1/22/2021,68,52,,2,
Hà Nội,1/22/2021,189,156,42,12,2
Bắc Ninh,1/22/2021,164,88,14,5,17
Lào Cai,1/22/2021,131,24,3,38,22
Hạ Long,1/22/2021,49,26,14,,
Quảng Ninh,1/22/2021,38,24,14,6,24
Bắc Ninh,1/22/2021,235,138,25,5,19
Bắc Ninh,1/22/2021,252,157,15,2,15
Hà Nội,1/22/2021,191,157,47,48,
Hà Nội,1/22/2021,161,90,31,9,
Hà Nội,1/22/2021,164,114,30,7,
Hà Nội,1/22/2021,183,126,20,9,1
Đà Nẵng,1/22/2021,,,1,2,6
Nha Trang,1/22/2021,,,4,2,3
Hà Nội,1/22/2021,186,151,25,14,
Hà Nội,1/22/2021,158,94,20,7,
Hà Nội,1/22/2021,188,152,37,17,
Hà Nội,1/22/2021,159,95,,9,
Cao Bằng,1/22/2021,208,212,,,2
Hồ Chí Minh ,1/23/2021,114,0,,,
Hà Nội,1/23/2021,,0,,,
Hà Nội,1/23/2021,189,0,8.7,0.2,4.6
Gia Lai,1/23/2021,26,25,12,4,1
Thừa Thiên Huế,1/23/2021,68,52,,2,
Hà Nội,1/23/2021,169,123,28,11,2
Bắc Ninh,1/23/2021,176,102,16,9,4
Lào Cai,1/23/2021,151,55,2,40,150
Hạ Long,1/23/2021,65,34,9,,
Quảng Ninh,1/23/2021,51,29,8,7,14
Bắc Ninh,1/23/2021,226,136,20,6,6
Bắc Ninh,1/23/2021,214,128,13,1,16
Hà Nội,1/23/2021,170,130,37,40,
Hà Nội,1/23/2021,149,81,33,7,
Hà Nội,1/23/2021,157,92,35,9,
Hà Nội,1/23/2021,160,106,23,10,1
Đà Nẵng,1/23/2021,,,1,3,6
Nha Trang,1/23/2021,,,2,2,3
Hà Nội,1/23/2021,167,123,20,13,
Hà Nội,1/23/2021,151,83,23,12,
Hà Nội,1/23/2021,168,121,31,11,
Hà Nội,1/23/2021,155,89,,11,
Cao Bằng,1/23/2021,194,340,,,2
Hồ Chí Minh ,1/25/2021,80,0,,,
