Station ID,Date,PM2.5,PM10,NO2,CO,SO2
8767,1/21/2021,102,0,,,
8688,1/21/2021,,0,,,
8641,1/21/2021,281,0,8.7,0.3,2.1
13012,1/21/2021,36,29,6,3,1
12488,1/21/2021,68,52,,2,
13251,1/21/2021,217,194,65,12,2
12976,1/21/2021,195,119,17,8,3
13250,1/21/2021,168,65,2,37,17
5507,1/21/2021,48,25,11,,
11778,1/21/2021,18,12,5,5,3
12958,1/21/2021,251,155,52,7,6
12957,1/21/2021,315,205,48,7,12
13015,1/21/2021,224,185,80,61,
13018,1/21/2021,177,112,42,20,
13019,1/21/2021,179,122,47,14,
13026,1/21/2021,214,149,36,19,1
1584,1/21/2021,,,1,3,5
1585,1/21/2021,,,13,7,3
13017,1/21/2021,213,175,34,31,
13020,1/21/2021,166,105,33,13,
13013,1/21/2021,221,177,31,38,
13014,1/21/2021,191,130,,17,
13252,1/21/2021,213,204,,,2
8767,1/22/2021,122,0,,,
8688,1/22/2021,,0,,,
8641,1/22/2021,189,0,8.7,0.1,3.1
13012,1/22/2021,17,18,13,4,1
12488,1/22/2021,68,52,,2,
13251,1/22/2021,189,156,42,12,2
12976,1/22/2021,164,88,14,5,17
13250,1/22/2021,131,24,3,38,22
5507,1/22/2021,49,26,14,,
11778,1/22/2021,38,24,14,6,24
12958,1/22/2021,235,138,25,5,19
12957,1/22/2021,252,157,15,2,15
13015,1/22/2021,191,157,47,48,
13018,1/22/2021,161,90,31,9,
13019,1/22/2021,164,114,30,7,
13026,1/22/2021,183,126,20,9,1
1584,1/22/2021,,,1,2,6
1585,1/22/2021,,,4,2,3
13017,1/22/2021,186,151,25,14,
13020,1/22/2021,158,94,20,7,
13013,1/22/2021,188,152,37,17,
13014,1/22/2021,159,95,,9,
13252,1/22/2021,208,212,,,2
8767,1/23/2021,114,0,,,
8688,1/23/2021,,0,,,
8641,1/23/2021,189,0,8.7,0.2,4.6
13012,1/23/2021,26,25,12,4,1
12488,1/23/2021,68,52,,2,
13251,1/23/2021,169,123,28,11,2
12976,1/23/2021,176,102,16,9,4
13250,1/23/2021,151,55,2,40,150
5507,1/23/2021,65,34,9,,
11778,1/23/2021,51,29,8,7,14
12958,1/23/2021,226,136,20,6,6
12957,1/23/2021,214,128,13,1,16
13015,1/23/2021,170,130,37,40,
13018,1/23/2021,149,81,33,7,
13019,1/23/2021,157,92,35,9,
13026,1/23/2021,160,106,23,10,1
1584,1/23/2021,,,1,3,6
1585,1/23/2021,,,2,2,3
13017,1/23/2021,167,123,20,13,
13020,1/23/2021,151,83,23,12,
13013,1/23/2021,168,121,31,11,
13014,1/23/2021,155,89,,11,
