Station ID	Date time	PM2.5	PM10	NO2	CO	SO2
8767	21/1/2021 7:00 PM	102	0			
8688	21/1/2021 8:00 PM		0			
8641	21/1/2021 8:00 PM	281	0	8.7	0.3	2.1
13012	21/1/2021 8:00 PM	36	29	6	3	1
12488	21/1/2021 7:00 PM	68	52		2	
13251	21/1/2021 7:00 PM	217	194	65	12	2
12976	21/1/2021 8:00 PM	195	119	17	8	3
13250	21/1/2021 8:00 PM	168	65	2	37	17
5507	21/1/2021 7:00 PM	48	25	11		
11778	21/1/2021 5:00 AM	18	12	5	5	3
12958	21/1/2021 8:00 PM	251	155	52	7	6
12957	21/1/2021 8:00 PM	315	205	48	7	12
13015	21/1/2021 7:00 PM	224	185	80	61	
13018	21/1/2021 7:00 PM	177	112	42	20	
13019	21/1/2021 7:00 PM	179	122	47	14	
13026	21/1/2021 7:00 PM	214	149	36	19	1
1584	21/1/2021 7:00 PM			1	3	5
1585	21/1/2021 8:00 PM			13	7	3
13017	21/1/2021 7:00 PM	213	175	34	31	
13020	21/1/2021 7:00 PM	166	105	33	13	
13013	21/1/2021 7:00 PM	221	177	31	38	
13014	21/1/2021 8:00 PM	191	130		17	
13252	21/1/2021 9:00 PM	213	204			2
8767	22/1/2021 1:00 PM	122	0			
8688	22/1/2021 1:00 PM		0			
8641	22/1/2021 1:00 PM	189	0	8.7	0.1	3.1
13012	22/1/2021 1:00 PM	17	18	13	4	1
12488	22/1/2021 1:00 PM	68	52		2	
13251	22/1/2021 12:00 PM	189	156	42	12	2
12976	22/1/2021 1:00 PM	164	88	14	5	17
13250	22/1/2021 1:00 PM	131	24	3	38	22
5507	22/1/2021 1:00 PM	49	26	14		
11778	22/1/2021 12:00 PM	38	24	14	6	24
12958	22/1/2021 1:00 PM	235	138	25	5	19
12957	22/1/2021 1:00 PM	252	157	15	2	15
13015	22/1/2021 12:00 PM	191	157	47	48	
13018	22/1/2021 12:00 PM	161	90	31	9	
13019	22/1/2021 12:00 PM	164	114	30	7	
13026	22/1/2021 12:00 PM	183	126	20	9	1
